study_number,raw_dataset,raw_dataset_label,raw_variable,raw_variable_label,raw_variable_ordinal,raw_variable_type,raw_data_format,study_specific,annotation_ordinal,mapping_is_dataset,annotation_text,target_sdtm_domain,target_sdtm_variable,target_sdtm_variable_role,target_sdtm_variable_codelist_code,target_sdtm_variable_controlled_terms_or_format,target_sdtm_variable_ordinal,origin,mapping_algorithm,entity_sub_algorithm,target_hardcoded_value,target_term_value,target_term_code,condition_ordinal,condition_group_ordinal,condition_add_raw_dat,condition_add_tgt_dat,condition_left_raw_dataset,condition_left_raw_variable,condition_left_sdtm_domain,condition_left_sdtm_variable,condition_operator,condition_right_text_value,condition_right_sdtm_domain,condition_right_sdtm_variable,condition_right_raw_dataset,condition_right_raw_variable,condition_next_logical_operator,merge_type,merge_left,merge_right,merge_condition,unduplicate_keys,groupby_keys,target_resource_raw_dataset,target_resource_raw_variable,,
lp_study,vitals_raw_data,Vital Signs,SUBPOS,Position of subject,5,Text,$32 ,FALSE,1,FALSE,VS.VSPOS when VS.VSTESTCD = 'DIABP',VS,VSPOS,Record Qualifier,(POSITION),C71148,8,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,SUBPOS,Position of subject,5,Text,$32 ,FALSE,1,FALSE,VS.VSPOS when VS.VSTESTCD = 'PULSE',VS,VSPOS,Record Qualifier,(POSITION),C71148,8,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,SYS_BP,Systolic blood pressure,6,Text,3,FALSE,1,FALSE,VS.VSORRES when VS.VSTESTCD = 'SYSBP',VS,VSORRES,Result Qualifier,,,12,CRF,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,SYS_BP,Systolic blood pressure,6,Text,3,FALSE,1,FALSE,VS.VSORRES when VS.VSTESTCD = 'SYSBP',VS,VSTESTCD,Topic Variable,C66741,(VSTESTCD),7,Assigned,hardcode_ct,,,SYSBP,C25298,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,SYS_BP,Systolic blood pressure,6,Text,3,FALSE,2,FALSE,VS.VSTEST = 'Systolic Blood Pressure',VS,VSTEST,Synonym Qualifier,C67153,(VSTEST),8,Assigned,hardcode_ct,,,Systolic Blood Pressure,C25298,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,SYS_BP,Systolic blood pressure,6,Text,3,FALSE,3,FALSE,VS.VSORRESU = <Fixed Unit>,VS,VSORRESU,Variable Qualifier,C66770,(VSRESU),13,Assigned,hardcode_ct,,,mmHg,C49670,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,DIA_BP,Diastolic blood pressure,7,Text,3,FALSE,1,FALSE,VS.VSORRES when VS.VSTESTCD = 'DIABP',VS,VSORRES,Result Qualifier,,,12,CRF,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,DIA_BP,Diastolic blood pressure,7,Text,3,FALSE,1,FALSE,VS.VSORRES when VS.VSTESTCD = 'DIABP',VS,VSTESTCD,Topic Variable,C66741,(VSTESTCD),7,Assigned,hardcode_ct,,,DIABP,C25299,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,DIA_BP,Diastolic blood pressure,7,Text,3,FALSE,2,FALSE,VS.VSTEST = 'Diastolic Blood Pressure',VS,VSTEST,Synonym Qualifier,C67153,(VSTEST),8,Assigned,hardcode_ct,,,Diastolic Blood Pressure,C25299,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,DIA_BP,Diastolic blood pressure,7,Text,3,FALSE,3,FALSE,VS.VSORRESU = <Fixed Unit>,VS,VSORRESU,Variable Qualifier,C66770,(VSRESU),13,Assigned,hardcode_ct,,,mmHg,C49670,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,PULSE,Pulse,8,Text,3,FALSE,1,FALSE,VS.VSORRES when VS.VSTESTCD = 'PULSE',VS,VSORRES,Result Qualifier,,,12,CRF,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,PULSE,Pulse,8,Text,3,FALSE,1,FALSE,VS.VSORRES when VS.VSTESTCD = 'PULSE',VS,VSTESTCD,Topic Variable,C66741,(VSTESTCD),7,Assigned,hardcode_ct,,,PULSE,C49676,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,PULSE,Pulse,8,Text,3,FALSE,2,FALSE,VS.VSTEST = 'Pulse Rate',VS,VSTEST,Synonym Qualifier,C67153,(VSTEST),8,Assigned,hardcode_ct,,,Pulse Rate,C49676,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,PULSE,Pulse,8,Text,3,FALSE,3,FALSE,VS.VSORRESU = <Fixed Unit>,VS,VSORRESU,Variable Qualifier,C66770,(VSRESU),13,Assigned,hardcode_ct,,,beats/min,C49673,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,TEMP,Temperature,9,Text,5,FALSE,1,FALSE,VS.VSORRES when VS.VSTESTCD = 'TEMP',VS,VSORRES,Result Qualifier,,,12,CRF,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,TEMP,Temperature,9,Text,5,FALSE,1,FALSE,VS.VSORRES when VS.VSTESTCD = 'TEMP',VS,VSTESTCD,Topic Variable,C66741,(VSTESTCD),7,Assigned,hardcode_ct,,,TEMP,C174446,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,TEMP,Temperature,9,Text,5,FALSE,2,FALSE,VS.VSTEST = 'Temperature',VS,VSTEST,Synonym Qualifier,C67153,(VSTEST),8,Assigned,hardcode_ct,,,Temperature,C174446,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,TEMP,Temperature,9,Text,5,FALSE,3,FALSE,VS.VSORRESU = <Fixed Unit>,VS,VSORRESU,Variable Qualifier,C66770,(VSRESU),13,Assigned,hardcode_ct,,,C,C42559,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,TEMPLOC,Location of temperature measurement,10,Text,$32 ,FALSE,1,FALSE,VS.VSLOC when VS.VSTESTCD = 'TEMP',VS,VSLOC,Record Qualifier,(LOC),C74456,,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,RESPRT,Respiratory rate,11,Text,2,FALSE,1,FALSE,VS.VSORRES when VS.VSTESTCD = 'RESP',VS,VSORRES,Result Qualifier,,,12,CRF,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,RESPRT,Respiratory rate,11,Text,2,FALSE,1,FALSE,VS.VSORRES when VS.VSTESTCD = 'RESP',VS,VSTESTCD,Topic Variable,C66741,(VSTESTCD),7,Assigned,hardcode_ct,,,RESP,C49678,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,RESPRT,Respiratory rate,11,Text,2,FALSE,2,FALSE,VS.VSTEST = 'Respiratory Rate',VS,VSTEST,Synonym Qualifier,C67153,(VSTEST),8,Assigned,hardcode_ct,,,Respiratory Rate,C49678,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,RESPRT,Respiratory rate,11,Text,2,FALSE,3,FALSE,VS.VSORRESU = <Fixed Unit>,VS,VSORRESU,Variable Qualifier,C66770,(VSRESU),13,Assigned,hardcode_ct,,,breaths/min,C49674,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,OXY_SAT,Oxygen saturation,12,Text,3,FALSE,1,FALSE,VS.VSORRES when VS.VSTESTCD = 'OXYSAT',VS,VSORRES,Result Qualifier,,,12,CRF,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,OXY_SAT,Oxygen saturation,12,Text,3,FALSE,1,FALSE,VS.VSORRES when VS.VSTESTCD = 'OXYSAT',VS,VSTESTCD,Topic Variable,C66741,(VSTESTCD),7,Assigned,hardcode_ct,,,OXYSAT,C60832,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,OXY_SAT,Oxygen saturation,12,Text,3,FALSE,2,FALSE,VS.VSTEST = 'Oxygen Saturation',VS,VSTEST,Synonym Qualifier,C67153,(VSTEST),8,Assigned,hardcode_ct,,,Oxygen Saturation,C60832,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,OXY_SAT,Oxygen saturation,12,Text,3,FALSE,3,FALSE,VS.VSORRESU = <Fixed Unit>,VS,VSORRESU,Variable Qualifier,C66770,(VSRESU),13,Assigned,hardcode_ct,,,%,C25613,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,LAT,Side of body,13,Text,$20 ,FALSE,1,FALSE,VS.VSLAT when VS.VSTESTCD = 'OXYSAT',VS,VSLAT,Variable Qualifier,C99073,(LAT),14,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,vitals_raw_data,Vital Signs,LOC,Measurement location,14,Text,$20 ,FALSE,1,FALSE,VS.VSLOC when VS.VSTESTCD = 'OXYSAT',VS,VSLOC,Record Qualifier,C74456,(LOC),15,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,,,,,,,,,,,Unique identifier for a study.,CM,STUDYID,Identifier Variable,,,1,Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,,,,,,,,,,,Set to USUBJID in SDTM.DM domain. ,CM,USUBJID,Identifier Variable,,,3,Derived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,,,,,,,,,,,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,CM,VSSEQ,Identifier Variable,,,5,Derived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,,,,,,,,,,,"1. Clinical encounter number. 2. Numeric version of VISIT, used for sorting.",CM,VISITNUM,Timing Variable,,,34,Derived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,,,,,,,,,,,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,CM,VISIT,Timing Variable,,,35,Derived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,,,,,,,,,,,"Epoch associated with the start date/time of the observation, or the date/time of collection if start date/time is not collected.",CM,EPOCH,Timing Variable,C99079,(EPOCH),37,Derived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp_study,,,,,,,,,,,"Taken directly from SDTM IG 3.1.2, p41: --DY = (date portion of --DTC) - (date portion of SDTM.DM.RFSTDTC) + 1 if --DTC is on or after SDTM.DM.RFSTDTC; --DY = (date portion of --DTC) - (date portion of SDTM.DM.RFSTDTC) if --DTC precedes SDTM.DM.RFSTDTC.",CM,VSDY,Timing Variable,,,42,Derived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
